,openEuler_2209,openEuler_2203,advanced_riscv64
decentxml,succeeded,succeeded,succeeded
dejagnu,succeeded,succeeded,succeeded
dejavu-fonts,succeeded,succeeded,succeeded
deltarpm,succeeded,succeeded,succeeded
erlang-meck,failed,succeeded,failed
derby,succeeded,succeeded,failed
desktop-file-utils,succeeded,succeeded,succeeded
devhelp,succeeded,succeeded,failed
dhcp,succeeded,succeeded,failed
dialog,succeeded,succeeded,succeeded
erlang-proper,failed,succeeded,failed
diffstat,succeeded,succeeded,succeeded
diffutils,succeeded,succeeded,failed
digest-list-tools,succeeded,succeeded,unresolvable
ding-libs,succeeded,succeeded,succeeded
discount,succeeded,succeeded,succeeded
disruptor,succeeded,succeeded,succeeded
djvulibre,succeeded,succeeded,failed
dkms,succeeded,succeeded,succeeded
dleyna-connector-dbus,succeeded,succeeded,succeeded
dleyna-core,succeeded,succeeded,succeeded
dleyna-server,succeeded,succeeded,succeeded
dmidecode,succeeded,succeeded,
dmraid,succeeded,succeeded,succeeded
dnf,succeeded,succeeded,failed
dnf-plugins-core,succeeded,succeeded,succeeded
dnsjava,succeeded,succeeded,succeeded
dnsmasq,succeeded,succeeded,succeeded
dnssec-trigger,succeeded,succeeded,succeeded
docbook-dtds,succeeded,succeeded,succeeded
docbook-style-dsssl,succeeded,succeeded,succeeded
docbook-style-xsl,succeeded,succeeded,succeeded
docbook-utils,succeeded,succeeded,succeeded
docbook2X,succeeded,succeeded,succeeded
docbook5-style-xsl,succeeded,succeeded,succeeded
docker,succeeded,succeeded,
docker-client-java,succeeded,unresolvable,unresolvable
docker-compose,succeeded,succeeded,succeeded
dogtail,succeeded,succeeded,succeeded
dom4j,succeeded,succeeded,failed
dos2unix,succeeded,succeeded,succeeded
dosfstools,succeeded,succeeded,succeeded
dotconf,succeeded,succeeded,succeeded
double-conversion,succeeded,succeeded,succeeded
dovecot,succeeded,succeeded,succeeded
doxygen,succeeded,succeeded,unresolvable
gpars,failed,succeeded,succeeded
dpkg,succeeded,succeeded,succeeded
dracut,succeeded,succeeded,failed
drbd,succeeded,,
dropwatch,succeeded,succeeded,succeeded
drpm,succeeded,succeeded,succeeded
dtc,succeeded,succeeded,succeeded
duktape,succeeded,,
dump,succeeded,succeeded,succeeded
dvdplusrw-tools,succeeded,succeeded,succeeded
dwarves,succeeded,succeeded,succeeded
dwz,succeeded,succeeded,failed
e2fsprogs,succeeded,succeeded,succeeded
easymock,succeeded,failed,failed
ebtables,succeeded,succeeded,succeeded
ecj,succeeded,succeeded,failed
groovy,failed,succeeded,failed
eclipse-ecf,succeeded,succeeded,unresolvable
eclipse-egit,succeeded,succeeded,
eclipse-emf,succeeded,succeeded,unresolvable
eclipse-jgit,succeeded,succeeded,succeeded
eclipse-license,succeeded,succeeded,failed
eclipse-m2e-workspace,succeeded,succeeded,succeeded
eclipselink,succeeded,failed,unresolvable
eclipselink-persistence-api,succeeded,succeeded,failed
ed,succeeded,succeeded,succeeded
ed25519-java,succeeded,succeeded,failed
ldapjdk,failed,succeeded,succeeded
efi-rpm-macros,succeeded,succeeded,succeeded
efibootmgr,succeeded,succeeded,
efivar,succeeded,succeeded,succeeded
mongo-java-driver,failed,succeeded,failed
egl-wayland,succeeded,succeeded,succeeded
eglexternalplatform,succeeded,succeeded,succeeded
ehcache-core,succeeded,succeeded,succeeded
ehcache-parent,succeeded,succeeded,
ehcache-sizeof-agent,succeeded,succeeded,failed
eigen,succeeded,,
elfutils,succeeded,succeeded,succeeded
elinks,succeeded,succeeded,succeeded
elixir,succeeded,succeeded,failed
emacs,succeeded,succeeded,succeeded
emacs-auctex,succeeded,succeeded,unresolvable
emma,succeeded,succeeded,succeeded
enca,succeeded,succeeded,succeeded
enchant,succeeded,succeeded,succeeded
